,SERCA.g_SERCA,CaRU.J_L,Na_Ca_Exchanger.g_NCX,Ca_independent_transient_outward_K_current.g_t,steady_state_outward_K_current.g_ss,sodium_potassium_pump.i_NaK_max
1000,0.0005470963287025643,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
950,0.0005497502836262007,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
900,0.0005526991224302411,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
850,0.0005559948834465215,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
800,0.0005597026145898373,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
750,0.0005639047098855948,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
700,0.0005687071045093179,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
650,0.0005742483290751522,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
600,0.0005807130910686255,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
550,0.0005883532643336393,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
500,0.0005975214722516559,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
450,0.0006087270597070097,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
400,0.000622734044026202,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
350,0.0006407430238651633,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
300,0.0006647549969837783,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
250,0.0006983717593498396,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
200,0.0007487969028989313,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
190,0.0007620666775171133,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
180,0.0007768108715373155,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
170,0.0007932896766187182,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
160,0.000811828332335296,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
150,0.0008328388088140842,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
140,0.0008568507819326993,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
130,0.0008845569047618707,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
120,0.0009168807147292372,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
110,0.0009550815810543068,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
100,0.00100092262064439,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
90,0.0010569505579211586,0.0007012337147368696,0.08638793075836927,3.842464692143616e-05,3.132880612790247e-06,0.0008771860233478159
